shrimp  ,almonds  ,avocado  ,vegetables mix  ,green grapes  ,whole wheat flour  ,yams  ,cottage cheese  
burgers  ,meatballs  ,eggs  ,   ,   ,   ,   ,   
chutney  ,   ,   ,   ,   ,   ,   ,   
turkey  ,avocado  ,   ,   ,   ,   ,   ,   
mineral water  ,milk  ,energy bar  ,whole wheat rice  ,green tea  ,eggs  ,   ,   
low fat yogurt  ,   ,   ,   ,   ,   ,   ,   
whole wheat pasta  ,french fries  ,   ,   ,   ,   ,   ,   
soup  ,light cream  ,shallot  ,   ,   ,   ,   ,   
frozen vegetables  ,spaghetti  ,green tea  ,   ,   ,   ,   ,   
french fries  ,   ,   ,   ,   ,   ,   ,   
eggs  ,pet food  ,   ,   ,   ,   ,   ,   
cookies  ,   ,   ,   ,   ,   ,   ,   
turkey  ,burgers  ,mineral water  ,eggs  ,cooking oil  ,   ,   ,   
spaghetti  ,champagne  ,cookies  ,   ,   ,   ,   ,   
mineral water  ,salmon  ,eggs  ,   ,   ,   ,   ,   
mineral water  ,   ,   ,   ,   ,   ,   ,   
shrimp  ,chocolate  ,chicken  ,honey  ,oil  ,cooking oil  ,low fat yogurt  ,   
turkey  ,eggs  ,   ,   ,   ,   ,   ,   
turkey  ,fresh tuna  ,tomatoes  ,spaghetti  ,mineral water  ,black tea  ,salmon  ,eggs  
meatballs  ,milk  ,honey  ,french fries  ,protein bar  ,   ,   ,   
red wine  ,shrimp  ,pasta  ,pepper  ,eggs  ,chocolate  ,shampoo  ,   
rice  ,sparkling water  ,   ,   ,   ,   ,   ,   
spaghetti  ,mineral water  ,ham  ,body spray  ,pancakes  ,green tea  ,   ,   
burgers  ,grated cheese  ,eggs  ,pasta  ,avocado  ,honey  ,white wine  ,toothpaste  
eggs  ,   ,   ,   ,   ,   ,   ,   
parmesan cheese  ,spaghetti  ,soup  ,avocado  ,milk  ,fresh bread  ,   ,   
ground beef  ,spaghetti  ,mineral water  ,milk  ,eggs  ,black tea  ,salmon  ,frozen smoothie  
sparkling water  ,   ,   ,   ,   ,   ,   ,   
mineral water  ,eggs  ,chicken  ,chocolate  ,french fries  ,   ,   ,   
frozen vegetables  ,spaghetti  ,yams  ,mineral water  ,   ,   ,   ,   
