Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
Mediterranean,"March 28, 2019",2019,Mar,,2,36,,2,,Presumed drowning
Mediterranean,"March 26, 2019",2019,Mar,4,4,11,3,,1,Presumed drowning
Mediterranean,"March 26, 2019",2019,Mar,1,1,13,5,6,2,Presumed drowning
Mediterranean,"March 26, 2019",2019,Mar,1,1,23,10,10,3,Presumed drowning
Central America,"March 25, 2019",2019,Mar,1,1,34,15,10,9,Fall from train
US-Mexico Border,"March 23, 2019",2019,Mar,1,1,,5,,2,Unknown (skeletal remains)
US-Mexico Border,"March 23, 2019",2019,Mar,1,1,45,,,,Unknown (skeletal remains)
Southeast Asia,"March 23, 2019",2019,Mar,8,10,,1,,,Vehicle Accident
Mediterranean,"March 23, 2019",2019,Mar,4,8,12,3,5,,Presumed drowning
US-Mexico Border,"March 21, 2019",2019,Mar,1,1,,,,,Unknown (skeletal remains)
US-Mexico Border,"March 21, 2019",2019,Mar,1,1,,3,7,10,Unknown (skeletal remains)
Central America,"March 20, 2019",2019,Mar,1,1,,,1,,Violence
Mediterranean,"March 19, 2019",2019,Mar,1,4,15,,,1,Presumed drowning
Mediterranean,"March 18, 2019",2019,Mar,3,3,52,,,,Presumed drowning
Central America,"March 17, 2019",2019,Mar,1,1,,,1,,Hit by train
North Africa,"March 17, 2019",2019,Mar,,19,1,,,,Presumed drowning
US-Mexico Border,"March 15, 2019",2019,Mar,1,1,,,,,Unknown (skeletal remains)
Mediterranean,"March 14, 2019",2019,Mar,1,45,22,3,,1,Presumed drowning
US-Mexico Border,"March 13, 2019",2019,Mar,1,1,,,,,Unknown (skeletal remains)
Caribbean,"March 11, 2019",2019,Mar,1,1,15,2,1,,Presumed drowning
US-Mexico Border,"March 11, 2019",2019,Mar,1,1,,,,,Unknown (skeletal remains)
Mediterranean,"March 10, 2019",2019,Mar,1,1,,1,,1,Presumed drowning
Mediterranean,"March 10, 2019",2019,Mar,1,1,13,1,,,Presumed drowning
Mediterranean,"March 09, 2019",2019,Mar,1,1,,,,,Presumed drowning
Europe,"March 08, 2019",2019,Mar,1,1,1,,1,,Fall from train
Europe,"March 08, 2019",2019,Mar,1,1,,,1,,Fall from train
Mediterranean,"March 08, 2019",2019,Mar,,2,,,,,Presumed drowning
Mediterranean,"March 07, 2019",2019,Mar,3,3,9,,3,2,Presumed drowning
Central America,"March 07, 2019",2019,Mar,1,1,17,,1,,Hit by train
Central America,"March 07, 2019",2019,Mar,24,24,33,11,13,5,Hit by train
US-Mexico Border,"March 06, 2019",2019,Mar,1,1,,1,,,Violence
South America,"March 05, 2019",2019,Mar,1,1,,,1,1,Violence
Central America,"March 03, 2019",2019,Mar,2,2,8,,,,Violence
Mediterranean,"March 03, 2019",2019,Mar,1,1,,20,1,10,Presumed drowning
Central America,"March 03, 2019",2019,Mar,1,1,18,,1,,Fall from train
Mediterranean,"February 28, 2019",2019,Feb,2,6,,1,1,,Presumed drowning
US-Mexico Border,"February 27, 2019",2019,Feb,1,1,20,9,7,4,Unknown (skeletal remains)
US-Mexico Border,"February 26, 2019",2019,Feb,1,1,,,,,Unknown (skeletal remains)
US-Mexico Border,"February 26, 2019",2019,Feb,1,1,,,1,2,Unknown (skeletal remains)
Mediterranean,"February 25, 2019",2019,Feb,1,1,32,,,,Presumed drowning
US-Mexico Border,"February 25, 2019",2019,Feb,1,1,43,,1,,Presumed drowning
US-Mexico Border,"February 25, 2019",2019,Feb,1,1,28,,,,Unknown (skeletal remains)
US-Mexico Border,"February 25, 2019",2019,Feb,1,1,91,40,20,31,Unknown (skeletal remains)
Mediterranean,"February 24, 2019",2019,Feb,1,1,,,,,Presumed drowning
Europe,"February 24, 2019",2019,Feb,2,2,,21,2,10,Presumed drowning
South America,"February 24, 2019",2019,Feb,1,1,89,,1,1,Presumed drowning
North Africa,"February 22, 2019",2019,Feb,2,2,,2,,,Hit by train
US-Mexico Border,"February 22, 2019",2019,Feb,1,1,16,14,1,1,Hit by train
US-Mexico Border,"February 22, 2019",2019,Feb,1,1,,20,1,1,Fall from train
US-Mexico Border,"February 21, 2019",2019,Feb,1,1,90,,1,,Fall from train
US-Mexico Border,"February 21, 2019",2019,Feb,2,2,101,,,,Fall from train
Mediterranean,"February 21, 2019",2019,Feb,1,1,16,5,1,10,Presumed drowning
Middle East,"February 21, 2019",2019,Feb,3,3,,3,5,2,Presumed drowning
US-Mexico Border,"February 20, 2019",2019,Feb,1,1,10,,1,5,Presumed drowning
Central America,"February 19, 2019",2019,Feb,1,1,,,1,8,Cardiac arrest
US-Mexico Border,"February 19, 2019",2019,Feb,1,1,2,1,,23,Hit by vehicle
